# coordinating_conjunction, numeral, determiner, existencial, subordinatingConjunction, adjective, comparativeAdjective, superlativeAdjective, ordinalAdjective_or_numeral, modalAuxiliary, singular_or_massCommun_noun, pluralCommonNoun, preposition, participle, predeterminer, genitiveMarker, personalPronoun, possessivePronoun, adverb, comparativeAdverb, superlativeAdverbs, preposition_or_infinitive, n_verb_baseForm, n_verb_pastTense, n_verb_gerund, n_verb_pastParticiple, n_verb_thirdPersonSingPresent, n_whDeterminer, n_whAdverb, whPronoun, avaliacao
5,3,33,0,14,12,1,0,3,3,61,9,36,6,3,16,12,3,14,1,0,13,10,2,5,6,15,0,2,10,350
14,0,35,3,13,25,0,0,1,5,68,23,37,0,1,11,9,0,10,0,0,21,11,5,7,0,18,0,3,8,750
3,1,33,1,9,16,1,0,1,5,64,17,36,5,1,18,11,4,11,1,0,14,9,2,1,5,17,0,3,9,400
9,1,17,2,6,10,1,0,1,6,46,20,18,3,0,8,20,0,15,2,0,11,8,2,0,3,6,0,4,8,500
17,0,52,3,12,36,4,0,0,4,119,43,73,21,3,28,19,4,29,7,0,21,8,6,6,22,20,0,9,14,500
12,1,25,0,10,16,0,0,1,1,61,25,33,7,0,15,16,3,12,0,0,11,8,1,3,7,9,0,0,13,450
6,4,29,2,7,23,1,0,3,5,50,16,34,4,1,12,6,0,13,1,0,17,13,8,2,4,7,0,1,5,300
8,1,53,3,17,28,2,0,1,9,79,33,47,12,0,14,21,1,30,5,0,24,15,1,11,12,18,0,6,17,800
5,0,21,3,6,6,0,0,0,4,38,10,17,2,0,3,11,4,14,1,0,11,8,1,0,2,9,0,2,6,200
12,1,41,2,8,31,1,0,1,5,74,15,43,3,5,13,20,4,11,1,0,17,10,0,3,3,13,0,3,13,350
6,0,24,2,7,18,1,0,0,5,58,26,44,4,2,13,10,0,17,0,0,25,11,1,1,4,10,0,2,9,650
11,1,26,2,4,11,1,0,2,7,57,15,35,6,0,13,15,2,12,1,0,9,8,2,3,6,8,0,3,6,350
19,0,73,1,17,30,3,0,0,8,130,35,74,10,5,27,43,15,29,8,0,27,13,5,11,10,22,0,3,21,450
12,14,56,3,17,28,1,0,15,9,112,34,83,7,0,35,15,0,23,3,0,20,8,2,3,8,17,0,3,14,800
8,0,21,0,8,18,0,0,1,1,61,23,29,7,1,14,3,2,10,0,0,10,5,0,1,7,8,0,1,5,300
17,10,44,2,16,24,3,0,10,11,87,24,75,19,4,25,23,2,39,6,0,32,19,3,10,20,14,0,6,20,350
20,0,65,3,9,38,1,0,0,5,113,31,57,8,1,23,15,12,27,1,0,23,12,1,2,8,25,0,4,10,550
17,1,46,4,13,20,1,0,2,7,86,19,49,2,2,22,32,0,31,1,0,31,21,4,3,2,28,0,4,13,650
6,3,37,4,8,24,2,0,3,6,72,18,50,3,1,21,10,4,12,1,0,12,6,6,4,3,7,0,4,8,850
14,0,25,4,12,19,1,0,1,8,48,15,28,4,1,9,14,5,21,1,0,22,15,6,2,4,7,0,2,12,350
15,1,51,9,21,21,0,0,1,15,94,18,61,13,0,20,27,3,30,0,0,29,21,2,10,13,30,0,1,22,700
10,4,42,6,12,19,1,0,4,11,68,22,43,8,2,17,25,1,14,1,0,20,10,6,1,8,18,0,1,16,500
20,4,27,1,20,26,1,0,4,15,65,23,45,3,0,19,23,2,17,5,0,33,18,0,7,3,15,0,4,15,100
17,1,57,2,16,19,1,0,1,3,93,21,46,7,1,12,10,2,10,0,0,26,16,0,16,7,24,0,3,9,150
10,2,39,2,14,37,5,0,4,7,92,27,73,9,2,27,18,2,40,8,0,35,16,6,5,9,12,0,2,16,350
6,1,20,0,4,17,0,0,1,1,46,15,24,5,0,8,8,0,12,0,0,10,8,0,4,5,9,0,0,4,250
9,1,32,3,6,28,4,0,2,3,64,16,44,4,0,21,11,1,12,2,0,16,5,1,2,4,10,0,3,8,550
10,1,16,3,8,8,0,0,1,6,39,19,19,5,0,4,10,1,5,0,0,14,9,0,0,5,4,0,3,8,350
5,1,27,6,3,13,1,0,1,8,41,11,28,5,3,8,18,2,25,2,0,16,6,1,3,5,19,0,1,6,200
8,0,38,2,8,19,1,0,0,4,60,11,34,4,0,12,15,6,10,1,0,9,6,1,0,4,11,0,2,7,300
5,0,32,1,9,21,0,0,0,7,51,14,31,8,1,12,3,1,10,0,0,16,13,0,1,8,15,0,2,5,300
6,2,28,3,16,21,2,0,3,7,63,25,37,8,0,13,14,1,15,1,0,19,12,2,2,8,14,0,1,13,750
10,0,31,5,8,14,0,0,0,9,44,15,28,7,3,8,25,4,26,2,0,19,17,5,1,7,17,1,4,8,150
11,3,34,4,6,22,1,0,3,8,81,42,49,13,0,15,15,2,5,1,0,18,8,6,5,14,5,0,4,8,300
9,3,30,2,10,22,2,0,3,3,59,12,37,3,1,11,16,4,21,2,0,17,15,2,1,3,19,0,6,7,700
8,0,34,2,6,31,2,0,0,7,63,11,30,4,2,12,16,0,11,4,0,16,10,2,7,4,13,0,1,11,550
24,0,45,2,14,12,0,0,0,11,89,20,64,1,4,20,20,7,23,2,0,29,22,2,8,1,8,0,6,15,100
10,0,34,2,18,28,2,0,0,9,65,21,33,3,0,11,16,5,20,3,0,26,23,0,3,3,22,0,4,11,750
6,2,25,2,11,26,3,0,3,5,60,25,41,4,1,13,10,2,13,3,0,18,11,1,3,5,9,0,4,7,500
11,1,52,7,16,26,2,0,1,16,94,19,70,9,3,27,27,7,34,1,0,40,29,7,0,10,20,0,2,14,750
11,1,17,3,5,26,0,0,2,6,66,25,49,4,1,17,13,2,16,0,0,21,7,3,1,4,13,0,4,6,1000
13,0,29,2,13,13,1,0,0,4,72,35,42,9,3,20,8,1,10,1,0,18,11,2,6,9,5,0,5,9,250
5,0,26,0,7,10,0,0,0,4,47,13,28,3,0,11,7,0,10,1,0,9,9,3,5,3,2,0,6,2,200
13,0,45,6,13,12,5,0,0,14,59,18,33,16,5,15,11,1,27,6,0,20,12,1,3,16,9,0,2,8,350
10,0,39,1,2,20,1,0,0,6,64,15,40,4,2,17,11,4,19,1,0,15,11,2,0,4,12,0,3,6,800
10,5,30,3,12,19,2,0,5,5,46,25,20,5,2,6,6,0,18,4,0,13,12,0,3,5,9,0,0,4,750
12,1,39,7,20,25,6,0,1,12,89,25,56,8,1,22,23,1,27,3,0,35,23,1,3,8,21,0,7,15,400
8,3,28,3,10,16,2,0,3,6,57,19,37,1,1,18,17,1,13,1,0,24,14,2,3,1,18,0,1,11,300
11,1,39,2,10,20,1,0,2,2,75,27,44,9,1,18,16,2,22,5,0,11,6,1,0,9,10,0,4,11,300
9,2,38,0,10,21,1,0,2,5,97,29,64,12,1,22,9,3,22,3,0,23,9,0,9,12,11,0,2,9,500
15,2,49,5,16,33,1,0,2,7,76,27,52,4,0,19,20,1,26,1,0,15,10,6,2,4,18,0,7,12,750
9,1,25,2,1,17,1,0,1,6,55,23,27,7,1,10,11,3,19,2,0,11,6,2,0,7,8,0,3,3,700
1,3,14,2,8,19,2,0,3,3,44,9,32,3,0,13,5,1,8,2,0,10,3,1,1,3,13,0,1,7,100
10,4,49,1,19,31,6,0,6,11,102,32,68,11,6,29,33,4,31,7,0,36,23,0,4,11,27,0,2,20,600
5,1,28,0,11,24,3,0,1,2,52,29,30,5,1,9,12,2,15,4,0,18,11,1,3,5,10,0,2,5,500
5,0,15,1,6,14,3,0,0,2,33,13,17,5,0,9,10,3,12,3,0,8,6,0,3,5,6,0,0,7,450
9,2,34,2,8,16,1,0,2,7,57,18,35,3,2,20,13,7,7,1,0,14,9,2,1,3,12,0,2,10,550
9,0,24,3,15,17,0,0,0,12,56,15,32,1,0,9,22,4,9,0,0,28,20,1,2,1,11,0,4,9,550
6,1,14,1,9,10,2,0,1,2,39,8,24,2,1,10,17,1,16,1,0,15,11,1,4,2,11,0,2,8,600
7,0,20,4,10,10,1,0,0,9,32,7,13,2,1,7,4,1,4,0,0,20,18,0,0,2,8,0,0,1,200
9,0,57,3,10,17,1,0,0,11,75,24,34,17,6,13,23,8,17,1,0,22,14,2,7,17,16,2,6,11,150
8,6,18,0,6,11,0,0,7,2,40,8,40,6,0,19,9,3,12,0,0,8,5,2,3,6,10,0,1,8,200
8,1,38,1,15,20,4,0,2,5,74,26,36,6,1,18,11,3,25,5,0,26,21,4,3,6,13,0,2,7,800
3,2,22,0,6,13,1,0,2,4,56,19,29,6,0,15,17,2,8,1,0,11,8,5,4,6,4,0,1,10,550
6,0,40,3,8,8,0,0,0,8,66,17,36,6,0,12,10,6,5,0,0,19,12,2,0,6,17,0,1,8,400
14,7,40,5,8,15,0,0,7,8,89,17,50,6,1,22,16,0,12,1,0,28,13,6,5,6,18,0,2,11,200
14,3,31,1,3,25,1,0,4,2,95,33,49,6,0,28,9,0,9,0,0,15,6,2,1,6,8,0,0,6,400
12,7,50,1,12,32,1,0,7,8,72,22,46,6,8,20,17,8,19,1,0,24,20,0,9,6,13,0,5,5,300
6,0,17,1,1,9,0,0,0,3,45,26,25,1,0,8,7,0,8,0,0,8,5,0,2,1,7,0,0,3,100
14,0,37,1,5,18,1,0,0,3,66,20,34,4,3,15,12,3,21,5,0,9,4,2,2,4,13,0,4,5,250
8,0,28,1,14,20,0,0,0,6,55,10,42,3,0,20,12,2,19,0,0,16,9,2,0,3,16,0,3,10,400
3,1,20,0,9,9,0,0,2,3,50,21,39,7,0,18,6,0,10,2,0,11,6,0,0,7,4,0,0,8,450
15,1,51,1,13,24,1,0,1,7,83,20,46,9,2,16,18,3,15,1,0,18,10,1,1,9,22,0,1,11,750
7,2,13,0,12,11,0,0,2,4,39,5,29,2,1,10,18,4,19,1,0,9,7,1,1,2,14,0,5,11,450
3,0,32,3,9,8,0,0,0,4,44,10,24,6,3,9,15,2,10,0,0,9,9,3,4,6,8,0,2,8,200
7,1,19,3,10,9,1,0,1,9,46,27,35,4,1,15,14,1,6,1,0,15,11,2,0,4,9,0,0,9,200
9,1,31,1,6,26,7,0,1,1,74,26,58,4,0,26,17,3,21,6,0,25,10,3,3,4,10,0,3,7,100
11,1,37,5,6,14,0,0,1,4,55,13,35,2,3,14,8,10,13,1,0,15,8,1,1,2,13,0,2,9,200
8,0,39,0,13,26,0,0,1,3,72,15,43,2,1,22,19,0,19,0,0,12,7,8,4,2,10,0,3,11,750
13,1,37,2,16,36,1,0,2,7,77,40,42,3,2,12,15,1,10,0,0,18,13,4,5,3,8,0,1,14,450
9,0,27,1,9,24,1,0,0,6,52,14,37,10,0,13,11,4,10,0,0,21,15,4,0,10,13,0,2,9,700
7,0,17,3,11,11,1,0,0,6,36,13,21,0,0,7,8,3,10,2,0,14,6,1,1,0,10,0,0,9,50
18,1,38,1,11,25,4,0,1,3,92,44,55,3,1,21,18,5,16,3,0,18,9,0,7,3,11,0,1,13,900
14,5,36,2,7,17,0,0,5,7,67,15,44,7,2,9,14,1,30,4,0,25,14,2,1,7,23,0,3,6,400
9,1,34,2,15,10,2,0,1,5,56,18,37,3,2,16,21,0,21,3,0,14,11,10,9,3,10,0,5,12,300
14,0,36,2,14,31,2,0,0,2,77,17,51,3,0,16,10,2,12,3,0,25,13,0,1,3,14,0,6,11,500
7,1,31,0,7,26,0,0,1,4,79,27,52,4,0,30,7,0,9,1,0,18,13,0,0,4,6,0,0,4,250
5,2,22,3,6,10,0,0,2,8,37,13,20,9,0,6,15,1,9,0,0,12,10,2,0,9,12,0,3,7,0
9,0,29,3,10,18,0,0,0,3,53,10,24,5,2,10,8,1,12,0,0,12,8,6,1,5,10,0,3,8,100
7,1,20,1,5,16,1,0,2,2,41,14,24,6,3,7,5,2,7,1,0,15,7,4,4,6,6,0,3,4,300
14,0,39,0,8,42,0,0,1,2,104,40,62,5,0,34,3,4,21,1,0,14,7,6,2,5,9,0,3,8,800
11,0,49,5,16,19,3,0,0,11,82,30,52,11,1,20,14,4,10,2,0,30,17,0,2,11,15,0,6,13,600
12,3,44,4,14,23,1,0,4,6,64,11,34,6,1,11,12,2,24,0,0,16,11,9,0,6,12,0,3,7,400
8,2,17,4,6,14,4,0,2,4,56,25,43,11,0,13,3,1,14,2,0,18,5,2,4,11,5,0,1,0,0
12,2,45,7,17,27,2,0,2,6,77,31,54,5,1,15,27,7,17,2,0,28,16,3,6,5,7,0,2,20,350
15,1,49,0,19,26,2,0,1,3,64,18,29,3,0,7,21,6,21,2,0,30,22,1,1,3,11,0,0,15,400
7,2,42,0,7,29,1,0,2,2,95,41,61,10,0,29,6,3,12,2,0,17,8,0,2,10,12,0,4,5,500
14,5,33,4,24,45,3,0,5,7,84,19,61,6,1,20,14,5,30,8,0,22,9,6,4,6,14,0,5,13,350
23,3,56,0,27,44,10,0,3,2,109,58,73,13,1,22,27,5,37,12,0,29,17,4,11,13,12,0,7,21,450
5,0,22,2,17,9,0,0,0,8,65,32,38,7,1,13,10,3,21,2,0,20,17,3,1,7,6,0,2,11,250
10,0,28,1,9,11,1,0,0,11,57,22,32,15,0,12,14,0,9,0,0,19,14,0,8,15,7,0,5,7,350
10,2,32,0,9,13,2,0,3,8,61,27,41,7,1,15,24,2,13,1,0,23,19,2,9,7,9,0,4,7,350
8,1,19,2,10,13,0,0,2,10,35,7,26,5,0,10,15,1,17,0,0,17,11,6,1,5,12,0,4,10,300
5,3,31,4,10,17,0,0,3,8,67,20,45,10,0,22,3,1,10,0,0,19,11,4,0,10,12,0,0,8,950
10,0,20,3,7,9,1,0,0,7,38,14,28,3,0,10,10,1,21,1,0,9,4,0,6,3,8,0,3,3,300
14,2,41,3,5,29,4,0,3,5,82,29,57,4,0,24,13,2,22,1,0,15,5,2,2,4,8,0,7,9,250
9,0,46,0,8,25,1,0,0,6,87,30,45,5,1,20,16,1,12,1,0,19,11,2,2,5,18,2,2,14,850
8,0,28,2,7,18,2,0,0,7,59,21,32,7,0,14,6,4,11,1,0,11,7,2,1,7,9,0,4,5,250
8,2,24,2,16,6,0,0,2,5,55,18,33,4,1,13,10,2,19,2,0,15,11,8,1,4,6,0,5,12,250
12,0,39,2,13,24,1,0,0,3,69,24,29,4,0,12,15,2,12,1,0,19,13,2,9,4,13,0,3,9,550
7,0,32,0,8,21,1,0,2,0,64,17,38,5,0,11,16,2,13,0,0,12,10,7,7,5,8,0,2,7,300
19,0,42,1,9,28,1,0,0,4,102,31,68,4,3,25,12,3,13,1,0,34,22,0,1,4,19,0,2,7,900
11,0,42,0,13,24,0,0,0,4,78,16,36,6,2,16,13,1,11,0,0,19,16,2,2,6,21,0,4,10,400
12,0,25,5,9,14,0,0,0,9,42,13,22,2,0,7,19,5,20,0,0,20,15,2,2,2,14,0,3,7,450
11,0,34,2,9,12,1,0,1,6,64,11,38,0,1,12,19,4,27,1,0,26,15,4,4,0,14,1,3,11,400
15,0,28,0,12,15,2,0,1,1,70,32,43,3,0,13,21,0,14,2,0,17,6,6,3,3,6,0,3,14,500
9,0,21,1,7,16,1,0,0,2,59,24,31,5,0,11,7,0,15,2,0,12,6,1,0,5,11,0,2,6,400
19,1,45,3,13,43,0,0,1,5,84,18,61,10,3,28,21,4,20,0,0,14,3,1,1,10,28,0,5,14,550
15,0,34,4,8,25,2,0,0,8,69,16,36,5,0,18,25,0,24,4,0,19,12,3,0,6,14,0,1,9,700
6,2,21,1,8,16,3,0,3,5,32,12,23,4,1,9,9,2,21,5,0,12,7,3,2,4,10,0,2,5,550
22,11,58,0,16,21,1,0,11,4,103,38,77,4,1,32,11,10,23,2,0,29,16,2,1,4,11,0,5,4,400
10,2,21,1,9,16,0,0,3,5,51,23,30,7,1,13,6,0,14,0,0,13,6,4,2,8,4,0,0,9,450
7,0,30,1,4,24,2,0,0,5,47,18,28,3,0,14,5,2,4,0,0,12,9,0,3,3,15,0,1,2,700
6,1,25,1,4,21,0,0,1,3,50,11,33,2,4,21,4,6,17,1,0,10,7,2,4,2,4,0,1,2,650
11,3,39,1,8,23,1,0,4,7,65,33,48,4,0,13,14,7,15,0,0,17,11,3,5,5,5,0,1,7,550
6,1,49,2,16,22,0,0,2,5,85,26,51,5,2,21,12,4,11,0,0,16,10,2,3,5,17,0,3,11,600
6,2,33,2,7,11,1,0,2,7,62,15,32,2,2,13,16,4,11,3,0,17,11,5,1,2,6,0,3,7,600
13,0,29,0,11,22,1,0,0,2,57,23,27,3,2,7,9,1,15,6,0,15,10,1,3,3,10,0,4,11,500
7,1,33,2,13,20,1,0,2,12,61,18,34,9,3,19,15,2,20,4,0,28,24,0,1,9,13,0,2,6,500
10,0,32,1,9,23,2,0,0,7,62,17,41,2,1,17,28,1,34,0,0,23,11,2,2,2,17,0,2,13,750
16,1,33,0,11,21,4,0,1,7,61,26,37,9,3,16,31,5,20,3,0,22,19,1,0,9,15,0,3,12,500
9,2,30,4,7,21,2,0,3,5,70,28,56,9,0,14,29,3,17,2,0,17,6,10,2,9,11,0,3,13,650
23,0,31,7,16,20,0,0,0,8,59,13,32,13,0,9,20,0,31,2,0,16,12,4,2,13,25,0,3,16,850
11,0,24,4,9,19,0,0,1,9,74,28,48,12,0,17,17,3,17,0,0,17,12,2,2,13,17,0,2,11,900
16,1,56,4,9,20,0,0,1,8,106,38,55,8,2,26,18,4,12,0,0,25,13,1,9,8,25,0,4,10,450
9,0,29,1,4,20,0,0,0,5,57,22,37,3,2,16,7,2,13,0,0,8,5,1,7,3,5,0,3,3,300
4,0,27,1,2,12,1,0,0,4,40,5,28,2,1,7,11,1,11,1,0,15,8,0,6,2,8,0,1,5,500
5,0,31,4,7,15,1,0,0,6,42,10,21,5,2,3,18,1,16,3,0,22,9,0,1,5,18,0,1,13,300
20,0,28,1,14,17,1,0,0,7,65,31,39,4,1,11,16,9,16,2,0,23,14,0,4,4,7,0,3,12,600
6,0,26,0,8,12,1,0,0,3,49,12,34,7,0,17,10,5,9,3,0,8,6,1,1,7,12,0,1,9,700
8,1,40,2,24,16,1,0,2,4,62,17,33,8,0,13,19,0,10,1,0,24,16,1,1,8,16,0,2,10,300
4,0,17,1,5,11,0,0,0,6,41,13,26,4,1,14,18,2,11,0,0,18,13,1,2,4,14,0,2,8,350
9,4,28,1,5,16,1,0,4,6,49,20,40,1,3,21,13,8,15,2,0,4,4,1,1,1,17,0,9,5,250
7,0,24,5,14,9,0,0,0,11,45,21,27,4,2,8,13,2,23,1,0,25,17,0,1,4,8,0,5,10,200
9,0,22,2,13,12,1,0,0,5,63,16,40,4,0,17,16,3,14,1,0,22,14,4,3,4,8,0,0,7,400
11,0,23,2,2,21,0,0,0,3,52,10,24,3,0,11,4,0,8,0,0,9,5,0,5,3,9,0,2,5,600
7,0,27,3,4,28,3,0,0,9,51,13,41,4,1,14,12,2,16,2,0,15,10,1,0,4,6,0,3,9,750
6,0,32,0,6,31,1,0,0,2,67,12,52,5,1,18,16,1,13,0,0,16,7,2,3,5,12,0,3,9,700
10,1,28,4,8,16,6,0,1,6,59,19,38,3,3,8,6,0,27,7,0,16,11,1,4,3,12,0,7,5,250
18,1,79,7,25,29,2,0,2,19,145,48,77,12,1,29,61,11,29,0,0,45,27,4,5,13,39,0,9,27,350
7,5,35,4,4,32,3,0,5,7,89,24,63,5,1,34,18,2,22,3,0,15,12,3,5,5,12,0,2,13,400
6,0,31,1,5,20,4,0,0,4,60,20,39,6,1,19,12,1,19,2,0,12,5,1,0,6,9,0,1,7,250
6,0,22,1,6,7,0,0,0,3,59,23,40,5,0,16,11,2,9,0,0,16,8,1,4,5,9,0,4,8,400
6,1,14,2,10,13,1,0,1,3,32,8,24,1,2,8,9,3,14,1,0,13,5,1,2,1,8,0,1,9,250
9,0,31,0,14,20,2,0,0,5,75,31,50,17,0,17,14,0,22,1,0,25,16,2,5,17,6,0,4,8,900
19,1,34,1,8,14,0,0,1,9,57,9,37,5,3,11,20,1,14,2,0,25,17,0,3,5,20,0,13,10,450
25,3,38,0,7,36,2,0,3,3,99,25,46,10,1,26,14,2,30,1,0,20,10,2,5,10,12,0,4,9,300
8,0,25,1,6,11,2,0,0,6,59,17,38,5,1,11,13,2,24,3,0,22,12,4,5,5,5,0,1,3,300
11,1,28,0,10,25,3,0,3,1,51,17,29,2,0,10,4,2,16,4,0,17,10,7,1,2,4,0,1,4,550
4,0,16,3,4,6,1,0,0,4,41,11,17,1,1,9,13,1,18,1,0,6,5,1,2,1,11,0,6,6,0
16,0,27,2,15,14,3,0,0,7,47,8,25,5,0,6,23,3,27,3,0,12,10,7,2,5,29,0,2,16,350
17,0,28,1,8,21,4,0,1,5,60,13,17,6,0,6,14,0,24,6,0,21,17,3,1,6,13,0,2,3,400
12,0,33,9,7,14,0,0,0,10,50,14,27,0,2,15,4,0,12,2,0,16,12,6,5,0,5,0,2,2,250
22,1,36,2,14,26,2,0,1,4,68,14,45,11,3,16,27,0,28,5,0,20,14,1,1,11,36,0,6,17,650
10,0,32,1,3,2,1,0,0,3,57,17,26,0,0,12,10,6,6,0,0,7,2,1,10,0,10,0,2,6,450
15,1,20,1,5,8,0,0,1,6,40,17,20,4,1,8,16,1,8,0,0,13,9,1,1,4,9,0,1,7,550
9,0,13,1,7,7,0,0,0,5,25,7,18,3,2,5,10,5,11,1,0,14,11,0,5,3,9,0,3,7,100
8,0,27,5,15,9,0,0,0,10,54,16,30,13,1,14,10,0,6,0,0,15,12,5,1,14,10,0,1,10,350
6,1,32,0,5,25,0,0,1,4,50,9,30,1,2,7,8,2,12,0,0,14,10,1,0,1,15,0,5,5,400
9,0,32,1,12,16,2,0,0,4,53,20,29,2,0,8,5,1,12,2,0,20,12,0,4,2,11,0,1,6,400
15,0,41,1,16,17,1,0,1,13,76,33,41,2,0,22,23,4,23,1,0,23,17,4,2,3,10,0,2,12,550
11,2,39,3,5,28,3,0,4,6,74,19,40,8,0,14,10,1,24,3,0,16,8,5,3,8,17,0,2,6,700
7,0,20,1,9,7,2,0,0,5,41,11,21,3,1,7,7,2,6,0,0,16,11,1,2,3,8,0,0,4,450
18,1,36,3,16,20,0,0,2,9,76,24,41,10,2,12,24,8,19,1,0,32,24,0,1,10,17,0,4,13,400
21,3,41,1,8,16,0,0,4,2,67,26,52,4,1,25,7,3,20,4,0,21,16,1,2,4,17,0,3,7,700
12,1,31,3,8,20,0,0,1,6,61,13,41,9,2,19,11,2,14,0,0,10,5,1,2,9,13,0,2,10,350
7,0,20,1,7,8,2,0,0,2,41,13,22,6,0,7,11,3,9,2,0,14,12,0,0,6,10,0,1,5,400
24,3,49,7,17,21,7,0,3,15,68,10,35,4,0,14,29,3,24,6,0,24,20,2,6,4,37,0,4,13,500
11,0,45,5,21,19,5,0,0,9,72,22,43,6,1,14,12,8,24,3,0,23,14,2,1,6,19,0,6,14,550
10,0,23,1,9,12,3,0,0,4,53,18,28,3,0,11,15,2,11,0,0,11,6,2,4,3,21,0,4,14,550
21,4,45,4,24,28,3,0,4,13,107,33,61,12,0,25,19,8,40,2,0,30,19,1,5,12,29,0,4,17,300
10,0,34,5,13,28,2,0,2,7,54,8,32,1,1,11,23,1,17,1,0,20,14,1,3,1,19,0,4,12,600
6,1,20,1,7,12,0,0,1,2,41,18,26,4,0,7,10,5,13,0,0,10,6,6,1,5,4,0,1,5,600
9,1,24,1,9,24,3,0,3,2,62,24,41,3,1,18,7,0,18,1,0,14,7,0,0,3,12,0,2,7,800
2,1,22,1,5,14,0,0,1,4,48,16,32,5,1,12,8,2,11,0,0,14,9,1,4,5,14,0,2,5,500
8,0,20,4,7,17,1,0,0,6,47,18,24,3,0,8,13,2,7,0,0,11,7,0,1,3,10,0,4,2,150
11,4,24,2,9,13,3,0,4,9,39,11,37,5,2,10,13,6,19,2,0,18,11,1,3,5,7,0,5,7,300
4,0,28,0,10,19,4,0,0,5,54,23,36,9,0,10,14,1,14,4,0,19,11,1,2,9,8,0,0,12,500
4,1,23,1,3,16,2,0,2,5,49,18,28,7,1,8,10,2,11,2,0,22,13,2,0,7,7,0,3,4,350
13,7,34,4,17,18,2,0,8,6,58,18,39,4,0,13,13,0,18,5,0,20,14,8,1,4,14,0,4,15,800
10,2,37,0,9,22,2,0,2,1,67,22,33,20,0,12,24,4,26,0,0,8,5,0,4,20,14,0,3,13,200
12,1,49,0,3,50,4,0,2,3,114,28,79,6,3,35,8,2,10,1,0,21,7,3,2,6,5,0,3,3,850
12,1,52,6,25,32,7,0,2,13,102,44,60,12,0,22,20,6,28,2,0,24,14,5,1,14,21,0,2,16,500
